"Country","Year","Life Expectancy Rate","Worldwide Life Expectancy Rate","Decade"
"australia",2013,82.1975609756098,69.48,2010
"cambodia",2013,71.7475609756098,69.48,2010
"kuwait",2013,74.462756097561,69.48,2010
"lebanon",2013,80.1288780487805,69.48,2010
"liberia",2013,60.5318780487805,69.48,2010
"liechtenstein",2013,82.3829268292683,69.48,2010
"sri lanka",2013,74.2402926829268,69.48,2010
"lesotho",2013,49.3314634146342,69.48,2010
"lithuania",2013,74.1634146341464,69.48,2010
"luxembourg",2013,81.7975609756098,69.48,2010
"latvia",2013,73.9804878048781,69.48,2010
"morocco",2013,70.8721219512195,69.48,2010
"azerbaijan",2013,70.6931463414634,69.48,2010
"moldova",2013,68.811512195122,69.48,2010
"madagascar",2013,64.6913902439024,69.48,2010
"maldives",2013,77.9353658536585,69.48,2010
"mexico",2013,77.3540243902439,69.48,2010
"mali",2013,55.013512195122,69.48,2010
"malta",2013,80.7463414634146,69.48,2010
"burundi",2013,54.0971951219512,69.48,2010
"mongolia",2013,67.5481951219512,69.48,2010
"mozambique",2013,50.1733658536585,69.48,2010
"mauritania",2013,61.511756097561,69.48,2010
"mauritius",2013,74.46,69.48,2010
"malawi",2013,55.2347073170732,69.48,2010
"malaysia",2013,75.0162682926829,69.48,2010
"namibia",2013,64.3438780487805,69.48,2010
"belgium",2013,80.3853658536585,69.48,2010
"niger",2013,58.4427073170732,69.48,2010
"nigeria",2013,52.4997804878049,69.48,2010
"nicaragua",2013,74.7881707317073,69.48,2010
"netherlands",2013,81.1048780487805,69.48,2010
"norway",2013,81.4512195121951,69.48,2010
"nepal",2013,68.4038536585366,69.48,2010
"new zealand",2013,81.4073170731707,69.48,2010
"oman",2013,76.8520243902439,69.48,2010
"pakistan",2013,66.5853658536585,69.48,2010
"panama",2013,77.5789512195122,69.48,2010
"benin",2013,59.2875609756098,69.48,2010
"peru",2013,74.8146097560976,69.48,2010
"philippines",2013,68.7144878048781,69.48,2010
"papua new guinea",2013,62.4307317073171,69.48,2010
"poland",2013,76.8487804878049,69.48,2010
"portugal",2013,80.3731707317073,69.48,2010
"paraguay",2013,72.2734878048781,69.48,2010
"burkina faso",2013,56.2750243902439,69.48,2010
"qatar",2013,78.6069024390244,69.48,2010
"romania",2013,74.4634146341463,69.48,2010
"rwanda",2013,63.9939756097561,69.48,2010
"saudi arabia",2013,75.7033658536586,69.48,2010
"sudan",2013,62.0444878048781,69.48,2010
"senegal",2013,63.3507317073171,69.48,2010
"singapore",2013,82.3463414634146,69.48,2010
"solomon islands",2013,67.7169024390244,69.48,2010
"sierra leone",2013,45.5509512195122,69.48,2010
"bangladesh",2013,70.6933902439024,69.48,2010
"el salvador",2013,72.3389268292683,69.48,2010
"serbia",2013,75.1365853658537,69.48,2010
"suriname",2013,71.0316341463415,69.48,2010
"slovenia",2013,80.2780487804878,69.48,2010
"sweden",2013,81.7048780487805,69.48,2010
"bulgaria",2013,74.4658536585366,69.48,2010
"swaziland",2013,48.9379268292683,69.48,2010
"seychelles",2013,74.2268292682927,69.48,2010
"chad",2013,51.1590731707317,69.48,2010
"togo",2013,56.4885121951219,69.48,2010
"thailand",2013,74.3650731707317,69.48,2010
"tajikistan",2013,67.3746097560976,69.48,2010
"turkmenistan",2013,65.4625853658537,69.48,2010
"bahrain",2013,76.6698780487805,69.48,2010
"tonga",2013,72.6423170731708,69.48,2010
"trinidad and tobago",2013,69.9252195121951,69.48,2010
"tunisia",2013,73.6463414634147,69.48,2010
"turkey",2013,75.1759512195122,69.48,2010
"uganda",2013,59.19,69.48,2010
"ukraine",2013,71.159512195122,69.48,2010
"afghanistan",2013,60.9314146341463,69.48,2010
"uruguay",2013,77.0514146341463,69.48,2010
"united states",2013,78.8414634146341,69.48,2010
"uzbekistan",2013,68.2275853658537,69.48,2010
"vietnam",2013,75.756487804878,69.48,2010
"vanuatu",2013,71.6868292682927,69.48,2010
"samoa",2013,73.2648780487805,69.48,2010
"bosnia and herzegovina",2013,76.2799024390244,69.48,2010
"south africa",2013,56.7365853658537,69.48,2010
"zambia",2013,58.0927804878049,69.48,2010
"zimbabwe",2013,59.7734878048781,69.48,2010
"belarus",2013,72.4707317073171,69.48,2010
"belize",2013,73.9048780487805,69.48,2010
"bolivia",2013,67.2173658536585,69.48,2010
"brazil",2013,73.8859512195122,69.48,2010
"barbados",2013,75.2964146341463,69.48,2010
"bhutan",2013,68.3023170731707,69.48,2010
"angola",2013,51.8661707317073,69.48,2010
"botswana",2013,47.4056097560976,69.48,2010
"canada",2013,81.4011219512195,69.48,2010
"switzerland",2013,82.7487804878049,69.48,2010
"chile",2013,79.8368048780488,69.48,2010
"china",2013,75.3530243902439,69.48,2010
"cameroon",2013,55.0418048780488,69.48,2010
"albania",2013,77.537243902439,69.48,2010
"colombia",2013,73.9788292682927,69.48,2010
"comoros",2013,60.8574878048781,69.48,2010
"costa rica",2013,79.921,69.48,2010
"cuba",2013,79.2392682926829,69.48,2010
"cyprus",2013,79.8043170731708,69.48,2010
"czech republic",2013,78.2780487804878,69.48,2010
"germany",2013,81.0439024390244,69.48,2010
"united arab emirates",2013,77.1312926829268,69.48,2010
"djibouti",2013,61.7869512195122,69.48,2010
"denmark",2013,80.3024390243903,69.48,2010
"dominican republic",2013,73.4509512195122,69.48,2010
"algeria",2013,71.0096585365854,69.48,2010
"ecuador",2013,76.4650731707317,69.48,2010
"spain",2013,82.4268292682927,69.48,2010
"estonia",2013,76.4243902439025,69.48,2010
"argentina",2013,76.1872926829268,69.48,2010
"ethiopia",2013,63.6173414634146,69.48,2010
"finland",2013,80.8317073170732,69.48,2010
"fiji",2013,69.923,69.48,2010
"france",2013,81.9682926829268,69.48,2010
"gabon",2013,63.441,69.48,2010
"united kingdom",2013,80.9560975609756,69.48,2010
"georgia",2013,74.079512195122,69.48,2010
"ghana",2013,61.0986341463415,69.48,2010
"armenia",2013,74.540756097561,69.48,2010
"guinea",2013,56.0916585365854,69.48,2010
"guinea-bissau",2013,54.2717073170732,69.48,2010
"equatorial guinea",2013,53.1145609756098,69.48,2010
"greece",2013,80.6341463414634,69.48,2010
"guatemala",2013,71.9928292682927,69.48,2010
"guyana",2013,66.2079024390244,69.48,2010
"honduras",2013,73.8030487804878,69.48,2010
"croatia",2013,77.1268292682927,69.48,2010
"haiti",2013,63.0588536585366,69.48,2010
"hungary",2013,75.2682926829268,69.48,2010
"indonesia",2013,70.8174390243903,69.48,2010
"india",2013,66.456243902439,69.48,2010
"ireland",2013,81.0439024390244,69.48,2010
"iraq",2013,69.4716829268293,69.48,2010
"iceland",2013,83.1170731707317,69.48,2010
"israel",2013,82.0560975609756,69.48,2010
"italy",2013,82.290243902439,69.48,2010
"jamaica",2013,73.4689268292683,69.48,2010
"jordan",2013,73.9014146341463,69.48,2010
"japan",2013,83.3319512195122,69.48,2010
"kazakhstan",2013,70.45,69.48,2010
"kenya",2013,61.6839756097561,69.48,2010
"australia",2012,82.0463414634146,69.48,2010
"cambodia",2012,71.4088292682927,69.48,2010
"kuwait",2012,74.359,69.48,2010
"lebanon",2012,79.8463658536585,69.48,2010
"liberia",2012,60.2063902439024,69.48,2010
"liechtenstein",2012,82.3829268292683,69.48,2010
"sri lanka",2012,74.0680487804878,69.48,2010
"lesotho",2012,48.836,69.48,2010
"lithuania",2012,73.8634146341464,69.48,2010
"luxembourg",2012,81.3926829268293,69.48,2010
"latvia",2012,73.7780487804878,69.48,2010
"morocco",2012,70.6431219512195,69.48,2010
"azerbaijan",2012,70.6249512195122,69.48,2010
"moldova",2012,68.6934146341464,69.48,2010
"madagascar",2012,64.2486341463415,69.48,2010
"maldives",2012,77.5738292682927,69.48,2010
"mexico",2012,77.1350731707317,69.48,2010
"mali",2012,54.6039268292683,69.48,2010
"malta",2012,80.7463414634146,69.48,2010
"burundi",2012,53.628756097561,69.48,2010
"mongolia",2012,67.3394390243902,69.48,2010
"mozambique",2012,49.8362682926829,69.48,2010
"mauritania",2012,61.3506097560976,69.48,2010
"mauritius",2012,73.8634146341464,69.48,2010
"malawi",2012,54.7237804878049,69.48,2010
"malaysia",2012,74.8422926829268,69.48,2010
"namibia",2012,63.8811463414634,69.48,2010
"belgium",2012,80.3853658536585,69.48,2010
"niger",2012,57.9661707317073,69.48,2010
"nigeria",2012,52.1090243902439,69.48,2010
"nicaragua",2012,74.4653902439024,69.48,2010
"netherlands",2012,81.1048780487805,69.48,2010
"norway",2012,81.4512195121951,69.48,2010
"nepal",2012,67.9827073170732,69.48,2010
"new zealand",2012,81.1560975609756,69.48,2010
"oman",2012,76.5910487804878,69.48,2010
"pakistan",2012,66.4358780487805,69.48,2010
"panama",2012,77.3680975609756,69.48,2010
"benin",2012,59.1194878048781,69.48,2010
"peru",2012,74.5155365853659,69.48,2010
"philippines",2012,68.5537317073171,69.48,2010
"papua new guinea",2012,62.2989268292683,69.48,2010
"poland",2012,76.7975609756098,69.48,2010
"portugal",2012,80.3731707317073,69.48,2010
"paraguay",2012,72.1937317073171,69.48,2010
"burkina faso",2012,55.8620243902439,69.48,2010
"qatar",2012,78.4538048780488,69.48,2010
"romania",2012,74.4634146341463,69.48,2010
"rwanda",2012,63.4928536585366,69.48,2010
"saudi arabia",2012,75.4969024390244,69.48,2010
"sudan",2012,61.8639512195122,69.48,2010
"senegal",2012,63.2021707317073,69.48,2010
"singapore",2012,81.9951219512195,69.48,2010
"solomon islands",2012,67.5070731707317,69.48,2010
"sierra leone",2012,45.3290487804878,69.48,2010
"bangladesh",2012,70.2948536585366,69.48,2010
"el salvador",2012,72.1045365853659,69.48,2010
"serbia",2012,74.8365853658537,69.48,2010
"suriname",2012,70.8113902439024,69.48,2010
"slovenia",2012,80.1243902439024,69.48,2010
"sweden",2012,81.7048780487805,69.48,2010
"bulgaria",2012,74.3146341463415,69.48,2010
"swaziland",2012,48.8506341463415,69.48,2010
"seychelles",2012,74.2268292682927,69.48,2010
"chad",2012,50.7005853658537,69.48,2010
"togo",2012,56.1503414634146,69.48,2010
"thailand",2012,74.1879756097561,69.48,2010
"tajikistan",2012,67.2571707317073,69.48,2010
"turkmenistan",2012,65.3135853658537,69.48,2010
"bahrain",2012,76.5361951219512,69.48,2010
"tonga",2012,72.489,69.48,2010
"trinidad and tobago",2012,69.8171463414634,69.48,2010
"tunisia",2012,73.9951219512195,69.48,2010
"turkey",2012,74.8624390243903,69.48,2010
"uganda",2012,58.6479756097561,69.48,2010
"ukraine",2012,70.9441463414634,69.48,2010
"afghanistan",2012,60.5091219512195,69.48,2010
"uruguay",2012,76.9078292682927,69.48,2010
"united states",2012,78.7414634146342,69.48,2010
"uzbekistan",2012,68.104,69.48,2010
"vietnam",2012,75.6066829268293,69.48,2010
"vanuatu",2012,71.4106829268293,69.48,2010
"samoa",2012,72.9820487804878,69.48,2010
"bosnia and herzegovina",2012,76.1211463414634,69.48,2010
"south africa",2012,56.0983170731707,69.48,2010
"zambia",2012,57.0225853658537,69.48,2010
"zimbabwe",2012,58.0459756097561,69.48,2010
"belarus",2012,71.9658536585366,69.48,2010
"belize",2012,73.6991463414634,69.48,2010
"bolivia",2012,66.9266341463415,69.48,2010
"brazil",2012,73.6178780487805,69.48,2010
"barbados",2012,75.1320243902439,69.48,2010
"bhutan",2012,67.8892682926829,69.48,2010
"angola",2012,51.464,69.48,2010
"botswana",2012,46.9907073170732,69.48,2010
"canada",2012,81.2380487804878,69.48,2010
"switzerland",2012,82.6975609756098,69.48,2010
"chile",2012,79.5726585365854,69.48,2010
"china",2012,75.199512195122,69.48,2010
"cameroon",2012,54.587512195122,69.48,2010
"albania",2012,77.3504634146341,69.48,2010
"colombia",2012,73.7770731707317,69.48,2010
"comoros",2012,60.644,69.48,2010
"costa rica",2012,79.7050243902439,69.48,2010
"cuba",2012,79.0670243902439,69.48,2010
"cyprus",2012,79.6371219512195,69.48,2010
"czech republic",2012,78.0756097560976,69.48,2010
"germany",2012,80.8926829268293,69.48,2010
"united arab emirates",2012,76.9578780487805,69.48,2010
"djibouti",2012,61.3039756097561,69.48,2010
"denmark",2012,80.0512195121951,69.48,2010
"dominican republic",2012,73.2329756097561,69.48,2010
"algeria",2012,70.8821707317073,69.48,2010
"ecuador",2012,76.1925609756098,69.48,2010
"spain",2012,82.4268292682927,69.48,2010
"estonia",2012,76.3268292682927,69.48,2010
"argentina",2012,76.0126829268293,69.48,2010
"ethiopia",2012,62.9659512195122,69.48,2010
"finland",2012,80.6268292682927,69.48,2010
"fiji",2012,69.7447317073171,69.48,2010
"france",2012,81.9682926829268,69.48,2010
"gabon",2012,63.0739268292683,69.48,2010
"united kingdom",2012,80.9048780487805,69.48,2010
"georgia",2012,73.9448780487805,69.48,2010
"ghana",2012,60.9471219512195,69.48,2010
"armenia",2012,74.4372195121951,69.48,2010
"guinea",2012,55.8446585365854,69.48,2010
"guinea-bissau",2012,54.0336341463415,69.48,2010
"equatorial guinea",2012,52.6129024390244,69.48,2010
"greece",2012,80.6341463414634,69.48,2010
"guatemala",2012,71.6638536585366,69.48,2010
"guyana",2012,66.0462682926829,69.48,2010
"honduras",2012,73.4934390243903,69.48,2010
"croatia",2012,76.9243902439024,69.48,2010
"haiti",2012,62.7026585365854,69.48,2010
"hungary",2012,75.0634146341463,69.48,2010
"indonesia",2012,70.607243902439,69.48,2010
"india",2012,66.2108536585366,69.48,2010
"ireland",2012,80.8951219512195,69.48,2010
"iraq",2012,69.2419268292683,69.48,2010
"iceland",2012,82.9170731707317,69.48,2010
"israel",2012,81.7048780487805,69.48,2010
"italy",2012,82.2390243902439,69.48,2010
"jamaica",2012,73.2824878048781,69.48,2010
"jordan",2012,73.7473902439024,69.48,2010
"japan",2012,83.0960975609756,69.48,2010
"kazakhstan",2012,69.61,69.48,2010
"kenya",2012,61.0831707317073,69.48,2010
"australia",2011,81.8951219512195,69.48,2010
"cambodia",2011,71.0510975609756,69.48,2010
"kuwait",2011,74.258243902439,69.48,2010
"lebanon",2011,79.5589268292683,69.48,2010
"liberia",2011,59.8598780487805,69.48,2010
"liechtenstein",2011,81.7926829268293,69.48,2010
"sri lanka",2011,73.8992926829269,69.48,2010
"lesotho",2011,48.219756097561,69.48,2010
"lithuania",2011,73.5634146341464,69.48,2010
"luxembourg",2011,80.9878048780488,69.48,2010
"latvia",2011,73.5756097560976,69.48,2010
"morocco",2011,70.4091219512195,69.48,2010
"azerbaijan",2011,70.5512926829268,69.48,2010
"moldova",2011,68.5752926829268,69.48,2010
"madagascar",2011,63.7989024390244,69.48,2010
"maldives",2011,77.1928780487805,69.48,2010
"mexico",2011,76.9141707317073,69.48,2010
"mali",2011,54.1908292682927,69.48,2010
"malta",2011,80.7463414634146,69.48,2010
"burundi",2011,53.1365609756098,69.48,2010
"mongolia",2011,67.1247073170732,69.48,2010
"mozambique",2011,49.4878292682927,69.48,2010
"mauritania",2011,61.1869512195122,69.48,2010
"mauritius",2011,73.2668292682927,69.48,2010
"malawi",2011,54.1399512195122,69.48,2010
"malaysia",2011,74.6683902439025,69.48,2010
"namibia",2011,63.2771707317073,69.48,2010
"belgium",2011,80.5853658536585,69.48,2010
"niger",2011,57.4826341463415,69.48,2010
"nigeria",2011,51.710243902439,69.48,2010
"nicaragua",2011,74.1347073170732,69.48,2010
"netherlands",2011,81.2048780487805,69.48,2010
"norway",2011,81.2951219512195,69.48,2010
"nepal",2011,67.5495609756098,69.48,2010
"new zealand",2011,80.9048780487805,69.48,2010
"oman",2011,76.3231463414634,69.48,2010
"pakistan",2011,66.2838780487805,69.48,2010
"panama",2011,77.1568048780488,69.48,2010
"benin",2011,58.9449024390244,69.48,2010
"peru",2011,74.2105365853659,69.48,2010
"philippines",2011,68.3914878048781,69.48,2010
"papua new guinea",2011,62.1621219512195,69.48,2010
"poland",2011,76.7463414634146,69.48,2010
"portugal",2011,80.4707317073171,69.48,2010
"paraguay",2011,72.1134634146341,69.48,2010
"burkina faso",2011,55.4404878048781,69.48,2010
"qatar",2011,78.2996829268293,69.48,2010
"romania",2011,74.5634146341464,69.48,2010
"rwanda",2011,62.9224146341463,69.48,2010
"saudi arabia",2011,75.288,69.48,2010
"sudan",2011,61.6794146341463,69.48,2010
"senegal",2011,63.0425853658537,69.48,2010
"singapore",2011,81.7439024390244,69.48,2010
"solomon islands",2011,67.2922195121951,69.48,2010
"sierra leone",2011,45.1025853658537,69.48,2010
"bangladesh",2011,69.8918048780488,69.48,2010
"el salvador",2011,71.8687073170732,69.48,2010
"serbia",2011,74.5365853658537,69.48,2010
"suriname",2011,70.5811219512195,69.48,2010
"slovenia",2011,79.9707317073171,69.48,2010
"sweden",2011,81.8024390243903,69.48,2010
"bulgaria",2011,74.1634146341463,69.48,2010
"swaziland",2011,48.6613902439024,69.48,2010
"seychelles",2011,72.7243902439024,69.48,2010
"chad",2011,50.2361951219512,69.48,2010
"togo",2011,55.8076585365854,69.48,2010
"thailand",2011,74.0089024390244,69.48,2010
"tajikistan",2011,67.1352195121951,69.48,2010
"turkmenistan",2011,65.1636097560976,69.48,2010
"bahrain",2011,76.4020487804878,69.48,2010
"tonga",2011,72.335243902439,69.48,2010
"trinidad and tobago",2011,69.7085609756098,69.48,2010
"tunisia",2011,74.3439024390244,69.48,2010
"turkey",2011,74.5404878048781,69.48,2010
"uganda",2011,58.0175365853659,69.48,2010
"ukraine",2011,70.8092682926829,69.48,2010
"afghanistan",2011,60.0653658536585,69.48,2010
"uruguay",2011,76.7642682926829,69.48,2010
"united states",2011,78.6414634146341,69.48,2010
"uzbekistan",2011,67.9803902439024,69.48,2010
"vietnam",2011,75.4579024390244,69.48,2010
"vanuatu",2011,71.1280487804878,69.48,2010
"samoa",2011,72.6957804878049,69.48,2010
"bosnia and herzegovina",2011,75.9624146341463,69.48,2010
"south africa",2011,55.2956585365854,69.48,2010
"zambia",2011,55.8331463414634,69.48,2010
"zimbabwe",2011,55.9462195121951,69.48,2010
"belarus",2011,70.5536585365854,69.48,2010
"belize",2011,73.4878048780488,69.48,2010
"bolivia",2011,66.6269268292683,69.48,2010
"brazil",2011,73.3473658536585,69.48,2010
"barbados",2011,74.9671463414634,69.48,2010
"bhutan",2011,67.4607317073171,69.48,2010
"angola",2011,51.0593170731707,69.48,2010
"botswana",2011,46.6689512195122,69.48,2010
"canada",2011,81.0683170731707,69.48,2010
"switzerland",2011,82.6951219512195,69.48,2010
