"Country","Decade","Year","Population"
"gambia, the","2000","2008","1586749"
"guinea-bissau","2000","2008","1561293"
"equatorial guinea","2000","2008","686223"
"greece","2000","2008","11186439"
"grenada","2000","2008","103934"
"greenland","2000","2008","56328"
"guatemala","2000","2008","14106687"
"guam","2000","2008","158310"
"guyana","2000","2008","748096"
"hong kong sar, china","2000","2008","6957800"
"honduras","2000","2008","7259470"
"croatia","2000","2008","4434508"
"haiti","2000","2008","9705130"
"hungary","2000","2008","10038188"
"indonesia","2000","2008","235360765"
"isle of man","2000","2008","82737"
"india","2000","2008","1197070109"
"ireland","2000","2008","4489544"
"iran, islamic rep.","2000","2008","72530693"
"iraq","2000","2008","29163327"
"iceland","2000","2008","317414"
"israel","2000","2008","7308800"
"italy","2000","2008","58826731"
"jamaica","2000","2008","2671934"
"jordan","2000","2008","5786000"
"japan","2000","2008","128063000"
"kazakhstan","2000","2008","15674000"
"kenya","2000","2008","38244442"
"kyrgyz republic","2000","2008","5318700"
"cambodia","2000","2008","13933660"
"kiribati","2000","2008","98437"
"st. kitts and nevis","2000","2008","51093"
"korea, rep.","2000","2008","48948698"
"kosovo","2000","2008","1747383"
"kuwait","2000","2008","2705290"
"lao pdr","2000","2008","6045439"
"lebanon","2000","2008","4109389"
"liberia","2000","2008","3672782"
"libya","2000","2008","6123022"
"st. lucia","2000","2008","172729"
"liechtenstein","2000","2008","35721"
"sri lanka","2000","2008","20246000"
"lesotho","2000","2008","1972194"
"lithuania","2000","2008","3198231"
"luxembourg","2000","2008","488650"
"latvia","2000","2008","2177322"
"macao sar, china","2000","2008","507274"
"st. martin (french part)","2000","2008","29376"
"morocco","2000","2008","31350544"
"monaco","2000","2008","35731"
"moldova","2000","2008","3570108"
"madagascar","2000","2008","19926798"
"maldives","2000","2008","321026"
"mexico","2000","2008","114972821"
"marshall islands","2000","2008","52221"
"macedonia, fyr","2000","2008","2055266"
"mali","2000","2008","14223403"
"malta","2000","2008","409379"
"myanmar","2000","2008","51030006"
"montenegro","2000","2008","616969"
"mongolia","2000","2008","2629666"
"northern mariana islands","2000","2008","57343"
"mozambique","2000","2008","22994867"
"mauritania","2000","2008","3414552"
"mauritius","2000","2008","1244121"
"malawi","2000","2008","13904671"
"malaysia","2000","2008","27197419"
"namibia","2000","2008","2115703"
"new caledonia","2000","2008","242546"
"niger","2000","2008","15085130"
"nigeria","2000","2008","151115683"
"nicaragua","2000","2008","5594524"
"netherlands","2000","2008","16445593"
"norway","2000","2008","4768212"
"nepal","2000","2008","26325183"
"new zealand","2000","2008","4259800"
"oman","2000","2008","2652281"
"pakistan","2000","2008","163096985"
"panama","2000","2008","3498679"
"peru","2000","2008","28642048"
"philippines","2000","2008","90297115"
"palau","2000","2008","20227"
"papua new guinea","2000","2008","6540267"
"poland","2000","2008","38125759"
"puerto rico","2000","2008","3760866"
"korea, dem. rep.","2000","2008","24243829"
"portugal","2000","2008","10558177"
"paraguay","2000","2008","6047131"
"french polynesia","2000","2008","262877"
"qatar","2000","2008","1388962"
"romania","2000","2008","20537875"
"russian federation","2000","2008","142742350"
"rwanda","2000","2008","9750314"
"saudi arabia","2000","2008","26742842"
"sudan","2000","2008","34470138"
"senegal","2000","2008","12229703"
"singapore","2000","2008","4839400"
"solomon islands","2000","2008","503410"
"sierra leone","2000","2008","5521838"
"el salvador","2000","2008","6004199"
"san marino","2000","2008","30160"
"somalia","2000","2008","9132589"
"serbia","2000","2008","7350222"
"south sudan","2000","2008","9208598"
"sao tome and principe","2000","2008","163595"
"suriname","2000","2008","506657"
"slovak republic","2000","2008","5379233"
"slovenia","2000","2008","2021316"
"sweden","2000","2008","9219637"
"swaziland","2000","2008","1153750"
"sint maarten (dutch part)","2000","2008","40458"
"seychelles","2000","2008","86956"
"syrian arab republic","2000","2008","20097057"
"turks and caicos islands","2000","2008","29481"
"chad","2000","2008","11139740"
"togo","2000","2008","6052937"
"thailand","2000","2008","66453255"
"tajikistan","2000","2008","7254072"
"turkmenistan","2000","2008","4917541"
"timor-leste","2000","2008","1030630"
"tonga","2000","2008","102816"
"trinidad and tobago","2000","2008","1315372"
"tunisia","2000","2008","10328900"
"turkey","2000","2008","70344357"
"tuvalu","2000","2008","9788"
"taiwan, china","2000","2008",NA
"tanzania","2000","2008","42844744"
"uganda","2000","2008","31014427"
"ukraine","2000","2008","46258200"
"uruguay","2000","2008","3350832"
"united states","2000","2008","304093966"
"uzbekistan","2000","2008","27302800"
"st. vincent and the grenadines","2000","2008","109165"
"venezuela, rb","2000","2008","28116716"
"virgin islands (u.s.)","2000","2008","107091"
"vietnam","2000","2008","85118700"
"vanuatu","2000","2008","225335"
"west bank and gaza","2000","2008","3596688"
"samoa","2000","2008","183440"
"yemen, rep.","2000","2008","22322699"
"south africa","2000","2008","49344228"
"congo, dem. rep.","2000","2008","61809278"
"zambia","2000","2008","13114579"
"zimbabwe","2000","2008","13495462"
"aruba","2000","2007","101218"
"andorra","2000","2007","84878"
"afghanistan","2000","2007","25877544"
"angola","2000","2007","19183907"
"albania","2000","2007","2970017"
"united arab emirates","2000","2007","6010100"
"argentina","2000","2007","39969903"
"armenia","2000","2007","2988117"
"american samoa","2000","2007","57904"
"antigua and barbuda","2000","2007","84397"
"australia","2000","2007","20827600"
"austria","2000","2007","8295487"
"azerbaijan","2000","2007","8581300"
"burundi","2000","2007","8514578"
"belgium","2000","2007","10625700"
"benin","2000","2007","8707637"
"burkina faso","2000","2007","14264002"
"bangladesh","2000","2007","146592687"
"bulgaria","2000","2007","7545338"
"bahrain","2000","2007","1026568"
"bahamas, the","2000","2007","342259"
"bosnia and herzegovina","2000","2007","3840418"
"belarus","2000","2007","9560000"
"belize","2000","2007","298403"
"bermuda","2000","2007","64888"
"bolivia","2000","2007","9441482"
"brazil","2000","2007","192784521"
"barbados","2000","2007","276154"
"brunei darussalam","2000","2007","374459"
"bhutan","2000","2007","681471"
"botswana","2000","2007","1930431"
"central african republic","2000","2007","4202104"
"canada","2000","2007","32887928"
"switzerland","2000","2007","7551117"
"channel islands","2000","2007","156516"
"chile","2000","2007","16462701"
"china","2000","2007","1317885000"
"cote d'ivoire","2000","2007","18862172"
"cameroon","2000","2007","19078100"
"congo, rep.","2000","2007","3715665"
"colombia","2000","2007","44374647"
"comoros","2000","2007","649404"
"cabo verde","2000","2007","481278"
"costa rica","2000","2007","4369465"
"cuba","2000","2007","11284043"
"curacao","2000","2007","144056"
"cayman islands","2000","2007","51480"
"cyprus","2000","2007","1063040"
"czech republic","2000","2007","10298828"
"germany","2000","2007","82266372"
"djibouti","2000","2007","799309"
"dominica","2000","2007","70795"
"denmark","2000","2007","5461438"
"dominican republic","2000","2007","9504336"
"algeria","2000","2007","34261971"
"ecuador","2000","2007","14205479"
"egypt, arab rep.","2000","2007","77605327"
"eritrea","2000","2007","4406299"
"spain","2000","2007","45226803"
"estonia","2000","2007","1340680"
"ethiopia","2000","2007","80891968"
"finland","2000","2007","5288720"
"fiji","2000","2007","834729"
"france","2000","2007","64016229"
"faeroe islands","2000","2007","48599"
"micronesia, fed. sts.","2000","2007","105080"
"gabon","2000","2007","1440902"
"united kingdom","2000","2007","61322463"
"georgia","2000","2007","4388400"
"ghana","2000","2007","22528041"
"guinea","2000","2007","10152521"
"gambia, the","2000","2007","1536424"
"guinea-bissau","2000","2007","1527342"
"equatorial guinea","2000","2007","665798"
"greece","2000","2007","11163002"
"grenada","2000","2007","103587"
"greenland","2000","2007","56555"
"guatemala","2000","2007","13797629"
"guam","2000","2007","158332"
"guyana","2000","2007","745638"
"hong kong sar, china","2000","2007","6916300"
"honduras","2000","2007","7133737"
"croatia","2000","2007","4436000"
"haiti","2000","2007","9556958"
"hungary","2000","2007","10055780"
"indonesia","2000","2007","232296830"
"isle of man","2000","2007","81914"
"india","2000","2007","1179685631"
"ireland","2000","2007","4398942"
"iran, islamic rep.","2000","2007","71720859"
"iraq","2000","2007","28423538"
"iceland","2000","2007","311566"
"israel","2000","2007","7180100"
"italy","2000","2007","58438310"
"jamaica","2000","2007","2662481"
"jordan","2000","2007","5661000"
"japan","2000","2007","128001000"
"kazakhstan","2000","2007","15484192"
"kenya","2000","2007","37250540"
"kyrgyz republic","2000","2007","5268400"
"cambodia","2000","2007","13728700"
"kiribati","2000","2007","96310"
"st. kitts and nevis","2000","2007","50465"
"korea, rep.","2000","2007","48597652"
"kosovo","2000","2007","1733404"
"kuwait","2000","2007","2538591"
"lao pdr","2000","2007","5939634"
"lebanon","2000","2007","4085426"
"liberia","2000","2007","3522337"
"libya","2000","2007","6017794"
"st. lucia","2000","2007","170146"
"liechtenstein","2000","2007","35431"
"sri lanka","2000","2007","20039000"
"lesotho","2000","2007","1955656"
"lithuania","2000","2007","3231294"
"luxembourg","2000","2007","479993"
"latvia","2000","2007","2200325"
"macao sar, china","2000","2007","493022"
"st. martin (french part)","2000","2007","28905"
"morocco","2000","2007","31011322"
"monaco","2000","2007","35046"
"moldova","2000","2007","3576910"
"madagascar","2000","2007","19371031"
"maldives","2000","2007","315515"
"mexico","2000","2007","113139374"
"marshall islands","2000","2007","52136"
"macedonia, fyr","2000","2007","2051427"
"mali","2000","2007","13759226"
"malta","2000","2007","406724"
"myanmar","2000","2007","50698814"
"montenegro","2000","2007","615875"
"mongolia","2000","2007","2592776"
"northern mariana islands","2000","2007","59791"
"mozambique","2000","2007","22359637"
"mauritania","2000","2007","3328285"
"mauritius","2000","2007","1239630"
"malawi","2000","2007","13498377"
"malaysia","2000","2007","26730607"
"namibia","2000","2007","2083174"
"new caledonia","2000","2007","238902"
"niger","2000","2007","14527631"
"nigeria","2000","2007","147152502"
"nicaragua","2000","2007","5522119"
"netherlands","2000","2007","16381696"
"norway","2000","2007","4709153"
"nepal","2000","2007","26063619"
"new zealand","2000","2007","4223800"
"oman","2000","2007","2593750"
"pakistan","2000","2007","159767672"
"panama","2000","2007","3438398"
"peru","2000","2007","28292768"
"philippines","2000","2007","88965508"
"palau","2000","2007","20118"
"papua new guinea","2000","2007","6387470"
"poland","2000","2007","38120560"
"puerto rico","2000","2007","3782995"
"korea, dem. rep.","2000","2007","24111945"
"portugal","2000","2007","10542964"
"paraguay","2000","2007","5966160"
"french polynesia","2000","2007","260361"
"qatar","2000","2007","1178955"
"romania","2000","2007","20882982"
"russian federation","2000","2007","142805088"
"rwanda","2000","2007","9481083"
"saudi arabia","2000","2007","26083522"
"sudan","2000","2007","33637960"
"senegal","2000","2007","11897230"
"singapore","2000","2007","4588600"
"solomon islands","2000","2007","492075"
"sierra leone","2000","2007","5391108"
"el salvador","2000","2007","5986414"
"san marino","2000","2007","29874"
"somalia","2000","2007","8909015"
"serbia","2000","2007","7381579"
"south sudan","2000","2007","8815495"
"sao tome and principe","2000","2007","160064"
"suriname","2000","2007","500953"
"slovak republic","2000","2007","5374622"
"slovenia","2000","2007","2018122"
"sweden","2000","2007","9148092"
"swaziland","2000","2007","1134853"
"sint maarten (dutch part)","2000","2007","39462"
"seychelles","2000","2007","85033"
"syrian arab republic","2000","2007","19425597"
"turks and caicos islands","2000","2007","28638"
"chad","2000","2007","10779504"
"togo","2000","2007","5890414"
"thailand","2000","2007","66353572"
"tajikistan","2000","2007","7099021"
"turkmenistan","2000","2007","4858235"
"timor-leste","2000","2007","1013194"
"tonga","2000","2007","102169"
"trinidad and tobago","2000","2007","1309260"
"tunisia","2000","2007","10225100"
"turkey","2000","2007","69515492"
"tuvalu","2000","2007","9764"
"taiwan, china","2000","2007",NA
"tanzania","2000","2007","41522004"
"uganda","2000","2007","29991958"
"ukraine","2000","2007","46509350"
"uruguay","2000","2007","3339750"
"united states","2000","2007","301231207"
"uzbekistan","2000","2007","26868000"
"st. vincent and the grenadines","2000","2007","109049"
"venezuela, rb","2000","2007","27670659"
"virgin islands (u.s.)","2000","2007","107423"
"vietnam","2000","2007","84218500"
"vanuatu","2000","2007","219956"
"west bank and gaza","2000","2007","3494496"
"samoa","2000","2007","182238"
"yemen, rep.","2000","2007","21701105"
"south africa","2000","2007","48656506"
"congo, dem. rep.","2000","2007","59834875"
"zambia","2000","2007","12738676"
"zimbabwe","2000","2007","13297798"
"aruba","2000","2006","100830"
"andorra","2000","2006","83373"
"afghanistan","2000","2006","25183615"
"angola","2000","2006","18541467"
"albania","2000","2006","2992547"
"united arab emirates","2000","2006","5171255"
"argentina","2000","2006","39558750"
"armenia","2000","2006","3002161"
"american samoa","2000","2006","58648"
"antigua and barbuda","2000","2006","83467"
"australia","2000","2006","20697900"
"austria","2000","2006","8268641"
"azerbaijan","2000","2006","8484550"
"burundi","2000","2006","8218070"
"belgium","2000","2006","10547958"
"benin","2000","2006","8443717"
"burkina faso","2000","2006","13834195"
"bangladesh","2000","2006","144839238"
"bulgaria","2000","2006","7699020"
"bahrain","2000","2006","940808"
"bahamas, the","2000","2006","335801"
"bosnia and herzegovina","2000","2006","3838504"
"belarus","2000","2006","9604000"
"belize","2000","2006","290751"
"bermuda","2000","2006","64523"
"bolivia","2000","2006","9283345"
"brazil","2000","2006","190698241"
"barbados","2000","2006","275040"
"brunei darussalam","2000","2006","368150"
"bhutan","2000","2006","666920"
"botswana","2000","2006","1895671"
"central african republic","2000","2006","4127112"
"canada","2000","2006","32570505"
"switzerland","2000","2006","7483934"
"channel islands","2000","2006","155415"
"chile","2000","2006","16279728"
"china","2000","2006","1311020000"
"cote d'ivoire","2000","2006","18486392"
"cameroon","2000","2006","18597109"
"congo, rep.","2000","2006","3604595"
"colombia","2000","2006","43835744"
"comoros","2000","2006","633814"
"cabo verde","2000","2006","478265"
"costa rica","2000","2006","4308790"
"cuba","2000","2006","11275199"
"curacao","2000","2006","141239"
"cayman islands","2000","2006","50028"
"cyprus","2000","2006","1048293"
"czech republic","2000","2006","10238905"
"germany","2000","2006","82376451"
"djibouti","2000","2006","788941"
"dominica","2000","2006","70690"
"denmark","2000","2006","5437272"
"dominican republic","2000","2006","9371333"
"algeria","2000","2006","33749328"
"ecuador","2000","2006","13967490"
"egypt, arab rep.","2000","2006","76274285"
"eritrea","2000","2006","4304440"
"spain","2000","2006","44397319"
"estonia","2000","2006","1346810"
"ethiopia","2000","2006","78735675"
"finland","2000","2006","5266268"
"fiji","2000","2006","827390"
"france","2000","2006","63621376"
"faeroe islands","2000","2006","48505"
"micronesia, fed. sts.","2000","2006","105680"
"gabon","2000","2006","1408920"
"united kingdom","2000","2006","60846820"
"georgia","2000","2006","4398000"
"ghana","2000","2006","21951891"
"guinea","2000","2006","9898301"
"gambia, the","2000","2006","1487731"
"guinea-bissau","2000","2006","1494603"
"equatorial guinea","2000","2006","645718"
"greece","2000","2006","11127947"
"grenada","2000","2006","103259"
"greenland","2000","2006","56774"
"guatemala","2000","2006","13490041"
"guam","2000","2006","158429"
"guyana","2000","2006","743705"
"hong kong sar, china","2000","2006","6857100"
"honduras","2000","2006","7007029"
"croatia","2000","2006","4440000"
"haiti","2000","2006","9409479"
"hungary","2000","2006","10071370"
"indonesia","2000","2006","229263980"
"isle of man","2000","2006","81110"
"india","2000","2006","1162088305"
"ireland","2000","2006","4273591"
"iran, islamic rep.","2000","2006","70923164"
"iraq","2000","2006","27716983"
"iceland","2000","2006","303782"
"israel","2000","2006","7053700"
"italy","2000","2006","58143979"
"jamaica","2000","2006","2653042"
"jordan","2000","2006","5536000"
"japan","2000","2006","127854000"
"kazakhstan","2000","2006","15308084"
"kenya","2000","2006","36286015"
"kyrgyz republic","2000","2006","5218400"
"cambodia","2000","2006","13525360"
"kiribati","2000","2006","94257"
"st. kitts and nevis","2000","2006","49818"
"korea, rep.","2000","2006","48371946"
"kosovo","2000","2006","1719536"
"kuwait","2000","2006","2389498"
"lao pdr","2000","2006","5838837"
"lebanon","2000","2006","4057041"
"liberia","2000","2006","3384804"
"libya","2000","2006","5907149"
"st. lucia","2000","2006","167656"
"liechtenstein","2000","2006","35141"
"sri lanka","2000","2006","19858000"
"lesotho","2000","2006","1940345"
"lithuania","2000","2006","3269909"
"luxembourg","2000","2006","472637"
"latvia","2000","2006","2218357"
"macao sar, china","2000","2006","479728"
"st. martin (french part)","2000","2006","28414"
"morocco","2000","2006","30691434"
"monaco","2000","2006","34384"
"moldova","2000","2006","3585209"
"madagascar","2000","2006","18826129"
"maldives","2000","2006","310168"
"mexico","2000","2006","111382857"
"marshall islands","2000","2006","52080"
"macedonia, fyr","2000","2006","2047330"
"mali","2000","2006","13309942"
"malta","2000","2006","405308"
"myanmar","2000","2006","50355559"
"montenegro","2000","2006","615025"
"mongolia","2000","2006","2558484"
"northern mariana islands","2000","2006","62235"
"mozambique","2000","2006","21737860"
"mauritania","2000","2006","3241762"
"mauritius","2000","2006","1233996"
"malawi","2000","2006","13112383"
"malaysia","2000","2006","26263048"
"namibia","2000","2006","2053915"
"new caledonia","2000","2006","235314"
"niger","2000","2006","13995530"
"nigeria","2000","2006","143318011"
"nicaragua","2000","2006","5450217"
"netherlands","2000","2006","16346101"
"norway","2000","2006","4660677"
"nepal","2000","2006","25794344"
"new zealand","2000","2006","4184600"
"oman","2000","2006","2553376"
"pakistan","2000","2006","156524189"
"panama","2000","2006","3378600"
"peru","2000","2006","27949958"
"philippines","2000","2006","87592899"
"palau","2000","2006","20012"
"papua new guinea","2000","2006","6236158"
"poland","2000","2006","38141267"
"puerto rico","2000","2006","3805214"
"korea, dem. rep.","2000","2006","23969897"
"portugal","2000","2006","10522288"
"paraguay","2000","2006","5882797"
"french polynesia","2000","2006","257731"
"qatar","2000","2006","988448"
"romania","2000","2006","21193760"
"russian federation","2000","2006","143049528"
"rwanda","2000","2006","9231041"
"saudi arabia","2000","2006","25419994"
"sudan","2000","2006","32809056"
"senegal","2000","2006","11578430"
"singapore","2000","2006","4401400"
"solomon islands","2000","2006","480716"
"sierra leone","2000","2006","5243214"
"el salvador","2000","2006","5967556"
"san marino","2000","2006","29568"
"somalia","2000","2006","8686939"
"serbia","2000","2006","7411569"
"south sudan","2000","2006","8445659"
"sao tome and principe","2000","2006","156584"
"suriname","2000","2006","495953"
"slovak republic","2000","2006","5373054"
"slovenia","2000","2006","2006868"
"sweden","2000","2006","9080505"
"swaziland","2000","2006","1118204"
"sint maarten (dutch part)","2000","2006","38270"
"seychelles","2000","2006","84600"
"syrian arab republic","2000","2006","18728200"
"turks and caicos islands","2000","2006","27642"
"chad","2000","2006","10423616"
"togo","2000","2006","5732175"
"thailand","2000","2006","66174486"
"tajikistan","2000","2006","6949566"
"turkmenistan","2000","2006","4801594"
"timor-leste","2000","2006","996052"
"tonga","2000","2006","101507"
"trinidad and tobago","2000","2006","1303141"
"tunisia","2000","2006","10127900"
"turkey","2000","2006","68704721"
"tuvalu","2000","2006","9732"
"taiwan, china","2000","2006",NA
"tanzania","2000","2006","40260847"
"uganda","2000","2006","29000925"
"ukraine","2000","2006","46787750"
"uruguay","2000","2006","3331041"
"united states","2000","2006","298379912"
"uzbekistan","2000","2006","26488250"
"st. vincent and the grenadines","2000","2006","108908"
"venezuela, rb","2000","2006","27221228"
"virgin islands (u.s.)","2000","2006","107700"
"vietnam","2000","2006","83311200"
"vanuatu","2000","2006","214635"
"west bank and gaza","2000","2006","3406334"
"samoa","2000","2006","181072"
"yemen, rep.","2000","2006","21093973"
"south africa","2000","2006","47991699"
"congo, dem. rep.","2000","2006","57926840"
"zambia","2000","2006","12381509"
"zimbabwe","2000","2006","13127942"
